,Unnamed: 0,sentence
83,83,"We Francji odbyły się 18. już mistrzostwa świata w pluciu na odległość pestkami melona. Zwyciężyła po raz pierwszy kobieta, 22-letnia Portugalka. Uzyskała ona wynik siedem metrów 53 centymetry, pokonując w ten sposób 54 rywali. Daleko jej jednak do pobicia rekordu świata należącego do francuskiego emeryta, który uzyskał kiedyś wynik dziesięciu metrów i 46 centymetrów."
94,94,"– zapytała psycholożka. Wszyscy pacjenci byli po imieniu, bo terapeutka tak kazała, ale ona sama pozostała „panią magister”. – Stara nie pozwala – odpowiedziała. – Stara, czyli... – Moja matka. – To brzmi o wiele lepiej. Używajmy ładnych określeń – pouczyła pani magister. Mówiła powoli i wyraźnie. – Dlaczego twoja mama zabrania używania pomadek?"
96,96,"– zapytał. – Yes. Henryk szykował się, by wypowiedzieć następne zdanie, ale spojrzał na książkę. – Historia myśli socjologicznej – przeczytał tytuł. – Polak – bez zdziwienia powiedziała młoda kobieta. – Nie musimy gadać po angielsku. Myślała, że mieszka w Berlinie, i ucieszyła się, że jest przyjezdnym ze Szczecina. – Dobrze – powiedziała Jenny. Kupił ją. Kupił tak, jak kupuje się jałówkę, by mieć później cielaka i mleko. To zdanie mama Henryka powtarzała po polsku, dopiero potem przechodziła na jidysz. Zapamiętał. Nie chciał mieć krowy. Potomstwa też nie, a zresztą kobieta, którą odnalazł, miała już pięćdziesiąt trzy lata. Musiał jednak zapłacić. Wyłączył telewizor, czując, że jeszcze chwila i od świątecznego patosu wyrosną mu skrzydła husarskie. W kilka dni po święcie armii do Marka zatelefonowała Beata: u koleżanki z żonatym narzeczonym coś się stało i tylko on mógł pomóc. Zapytał, czy ma wziąć narzędzia: spodziewał się, że będzie musiał naprawiać kran lub piecyk. Beata zaprzeczyła. W tle słyszał monotonny płacz. Pod koniec tygodnia zaczął jej szukać. Zadzwonił do szpitala w porze wieczornej. – Jenny?"
136,136,"- to jej głos. Poczuł na piersi ostrza noży. Kątem oka dostrzegł pastora. Usłyszał: Hedwiga, nie wtrącaj się. W stodole spostrzegła zarys postaci w nieheblowanych deskach. Objaśnij. Kobieta pierze nad balią na tarce mężowskie koszule a może gacie. Płacze. Przez niego. Za dużo wiesz - powiada Maria bez zdziwienia. A te napisy?"
137,137,"Maria odczytuje swoje pismo sprzed lat: Rana prana z rana. Popatrz na mnie tymi swoimi ślepiami - mówi kobieta. Wsuwa się pod głowę leżącego, błądzi palcami po jego twarzy. Nawet o tym nie śniłam, przeznaczenie, znaczenie, zna-czenie. Co to jest - czenie?"
203,203,"H.S.: Panie marszałku, dzisiejsza Rzeczpospolita informuje, że żona wiceministra pracy współpracuje z Work Service (to jest firma senatora Tomasza Misiaka), a resort przygotowywał korzystne dla tej firmy przepisy. To być może z tego będzie kolejna afera. Natomiast pan na konferencji prasowej ostatnio mówił... przypomniał swój własny projekt sprzed 2 lat... M.B.: Karta Standardów Politycznych, tak?"
242,242,"Ranni zostali przewiezieni do siedmiu szpitali w Łodzi i Zgierzu na obserwację. Najpoważniej ranne zostały: 54-letnia kobieta, która ma uraz miednicy i 11-letnia Emilka - doznała urazu szyi. Ich życie nie jest zagrożone. Henryk Sadurski, inżynier metalurg, nie ma pracy od kilku lat. - Szukałem, ale bez skutku. Teraz będzie gorzej, bo niemal każdy pracodawca pyta, czy mam prawo jazdy. Ja stracę je już za kilkanaście dni. Moje szanse na znalezienie zatrudnienia będą równe zeru - mówi Sadurski. - Sąsiedzi zaalarmowali mnie w środku nocy. Powiedzieli, że dom płonie. Nie trafiałem w klawisze telefonu - krzyczałem sam do siebie - opowiada Wilczewski. Dom stał w środku wsi. Tuż obok innych drewnianych zabudowań. Udało się uniknąć przeniesienia ognia, nie było na szczęście ofiar. Ekspertyza potwierdziła podpalenie. - Na zasadzie współpracy mamy zamontowany w komendzie terminal i jak się coś dzieje, to przyjeżdża policja - zareklamował się Sławomir Trofimiuk (36 l.), szef ochrony Hetmana. - Czy to prawda, że w komendzie jest terminal i jak mi się włączy alarm, to przyjedzie policja?"
260,260,"- płacze Iwona W., matka trzynastolatki. - Agatka mówiła, że to ją strasznie bolało, ale nie mogła nawet pisnąć... Zrozpaczona matka nie może sobie darować, że nie odczytała wezwania na pomoc w słowach dziecka. Zimą bywało, że nie jadła tygodniami. - Jadłam śnieg - mówi pani Jadwiga. - No a co miałam zrobić, jak ja sama samiusieńka. Wita nas w dziurawych papuciach, przez które prześwitują odmrożone palce. Nie pamięta, kiedy ostatnio badał ją lekarz. - Ja nie dam rady pieszo do Brańska chodzić - popłakuje . Chwilę później 80-letni wiadukt nad torami kolejowymi na ulicy Brzezińskiej w Łodzi przestał istnieć. Codziennie wiaduktem jeździło wiele tysięcy samochodów przemierzających trasę Łódź - Warszawa. Wiadukt nie był jednak w stanie wytrzymać obciążenia większego niż 30 ton. Dlatego zdecydowano się go rozebrać. Nowym będą mogły przejechać nawet 80-tonowe samochody. To wyjątkowa kobieta. Dlatego chciał się jej oświadczyć w niezwykłym miejscu. Grzegorz Jakubiak (25 l.) wręczył swej wybrance pierścionek na kopule centrum handlowego w Szczecinie!"
275,275,"Wielu w wyobraźni już widziało siebie na ślubie roku. Premier w eleganckim czarnym fraku, Jolanta Szczypińska w bieli z bukietem czerwonych róż. Prezydent jako świadek. Relacje na żywo w telewizji. Gwiazdom tradycyjne imiona nie podobają się, bo są pospolite. Chcą, by dziecko się wyróżniało. Tak było w przypadku 5-letniej Jaśminy, córki Doroty Lanton (36 l.) z ""Klanu"". - To imię pachnie kwiatami i wyróżnia córkę, która ma nazwisko męża: Nowicka. Gdyby była Kasią czy Anią, byłaby zbyt pospolita, to imię świetnie do niej pasuje - mówi aktorka. W Polsce jest jeszcze mało popularny, ale można go już skopiować z Internetu. - Jeszcze dziś ściągnę go z sieci - przekonuje Przemek, gimnazjalista z Zielonej Góry. Przemkowi już kilka razy nauczycielka zabierała telefon, bo bawił się nim podczas lekcji. - Teraz będę bez problemu puszczać sygnały do kolegi w czasie lekcji - cieszy się chłopak. Szykuje się przednia zabawa. Białystok. Rośnie ujawniany przemyt na wewnątrzunijnej granicy z Litwą, maleje na ""uszczelnionej"" granicy z Białorusią, która jest zewnętrzną granicą Unii Europejskiej - tak podlascy celnicy oceniają dwa lata od akcesji do UE na granicy w północno-wschodniej Polsce. Z ich wyliczeń wynika, że od akcesji Polski i Litwy, wykrywany przemyt papierosów na tej granicy jest o 20 procent większy, niż przed przystąpieniem obu krajów do UE. Ruszyła zbiórkana odbudowę kościoła. Pomagają wszyscy. Pół wieku temu ojciec Łukasz Semik, karmelita, zaczął odbudowywać ze zniszczeń wojennych kościół św. Katarzyny w Gdańsku. Pożar sprzed kilku dni 50 lat jego pracy zamienił w proch. - Zobaczyłem płomienie trawiące dach św. Katarzyny. Nie da się opisać tego, co czułem. To jakby płonęło mi 50 lat życia - opowiada ze łzami w oczach. - Znam bardzo dobrze ks. Michała i wiadomość o tym, że był agentem SB spadła na mnie jak grom z jasnego nieba - zawiesza głos ks. Adam Boniecki, redaktor naczelny ""Tygodnika Powszechnego"". Dokumenty IPN świadczą jednak przeciwko ks. Michałowi Czajkowskiemu. Ks. prof. wykładający biblistykę na Uniwersytecie Kardynała Wyszyńskiego przez ponad 20 lat był agentem bezpieki o pseudonimie Jankowski. Donosił m.in. na ks. Jerzego Popiełuszkę. Osobisty sekretarz Benedykta XVI, ks. Georg Gaenswein (49 l.) znów jest w świetle jupiterów. Tym razem, tak jak dwa tygodnie temu przewidział ""Super Express"", sekretarz zachwyca miliony Polaków. - Cieszę się, że wreszcie doszło do pielgrzymki w waszym kraju. Wasza wiara jest naprawdę żywa. I naprawdę imponująca - powiedział do dziennikarzy zgromadzonych w Pałacu Prezydenckim prałat Georg, gdy proszono go o komentarz. Ksiądz Gaenswein nie zawiódł. Obecna lokatorka mieszkania na Bohaterów Getta od kilku lat. Wcześniej nie zdarzały się tam przypadki przemieszczania przedmiotów. Ale działy się inne rzeczy. - Tam coś musi być - mówi sąsiadka mieszkająca piętro niżej. - To mieszkanie jest chyba jakieś pechowe. Kiedyś mieszkała tam starsza pani. Umarła. Następna lokatorka wyprowadziła się bardzo szybko. Tegoroczna maturzystka sopockiego ogólniaka chciałaby po skończeniu szkoły średniej dostać się na Uniwersytet Gdański. Pod uwagę bierze takie wydziały jak politologia, pedagogika, historia, dziennikarstwo i filozofia. - Najbardziej chciałabym się dostać na politologię - wyjaśnia. Małgorzata Tusk, mama Kasi: - Uważamy z mężem, że Kasia powinna robić w życiu to, co lubi i co będzie sprawiać jej przyjemność. Nie chcemy jej niczego narzucać. - On czuje się już na tyle mocny, że już nawet o własnych siłach poszedł do szkoły odebrać świadectwo - tata z radością obserwuje przemianę Wojtka. - W walce z rakiem stan psychiczny i nastawienie człowieka jest bardzo ważne. A sam Wojtek utwierdza bliskich w przekonaniu, że wszystko będzie dobrze. - Nigdy nie płaciłem za informacje o zgonach - zapewnia Witold Skrzydlewski, potentat w branży pogrzebowej w Łodzi. Przedsiębiorca zeznawał wczoraj przed sądem w kolejnym dniu procesu ""łowców skór"". Nazwisko właściciela największej w Łodzi firmy pogrzebowej przewijało się w śledztwie dotyczącym handlu informacjami o śmierci pacjentów. Prokuratura nie przedstawiła mu zarzutów. Oskarżeni sanitariusze i lekarze twierdzą, że Skrzydlewski wypłacał im pieniądze. Dla dr. Joe Townsenda i jego zespołu była to najdłuższa doba w ich życiu. Liczyła się precyzja, czas i niezwykły kunszt lekarzy, którzy przez wiele godzin mieli w swoich rękach życie tych dziesięciomiesięcznych dziewczynek. - Trzeba było odbudować wiele ich wewnętrznych organów - tłumaczyła po zakończonej sukcesem operacji rzeczniczka szpitala Janet Dotson. - Ale mamy nadzieję, że najgorsze jest już za nimi. Teraz może być już tylko coraz lepiej. Tym, którzy tu pozostaną na następny turnus, pozostaną obserwacje, badania pola magnetycznego, atmosfery i inne naukowe czynności. To one niemal bez reszty wypełniają czas Polakom w tej wiecznej zmarzlinie. Ale nasi nie są pozbawieni kontaktu z krajem. Internet dotarł i do tej opuszczonej przez ludzi części kuli ziemskiej. Anglicy upodobali sobie polskie kiełbasy, gołąbki, bigos, pieczywo, a nawet mleko. Uwielbiają nasze ogórki kiszone i marynowane grzybki. Polacy zaczynają się cenić. Kiełbaska palce lizać!"
286,286,"Sekretarz Łapa społecznie działa w poradni małżeńskiej, ale z podobnym postępowaniem kobiety nie spotkał się. - Normalnie zraniona kobieta wstydzi się, dusi to w sobie, szuka porady u przyjaciółki, ale nie upublicznia wszystkiego!"
