,Unnamed: 0,sentence
125,125,"Ostatnia praca zatytułowana ""Aluminiowe konstrukcje typu masztowego"" [20] omawia wzrost stosowania konstrukcji aluminiowych do konstrukcji linii przesyłowych wysokiego napięcia, jaki daje się zauważyć w ostatnich 2—3 latach. Zjawisko to związane jest z wygodą montażu i konserwacji tych konstrukcji. Miarą ułatwienia montażu jest to, że kompletny maszt linii przesyłowej 500 kV o wysokości 150 ft (45,72 m.) może być podniesiony, przetransportowany i zmontowany na miejscu przy użyciu helikoptera. Miąższość wody słodkie niżej powierzchni morza może być policzona na zasadzie naczyń połączonych. W delcie Nilu woda słona pojawia się na głębokościach w granicach od H = 35 h do 45 h. W końcowym efekcie badań ustalono, że głębokość użytkowa studni ustalona do eksploatacji, nie powinna przekroczyć H = 30 h, aby nie naruszyć równowagi między wodą słodką i słoną. Badania wielkości sił naciągu strun na torze przeprowadzono przez bezpośredni pomiar sił w poszczególnych strunach za pomocą przyrządu VOGT. Naciąg strun odbywał się jednocześnie dla całego masztu, czyli w zależności od typu masztu naciągano 12, 16 lub 18 strun. Pomiar siły wykonano dla wszystkich dostępnych drutów w trzech miejscach toru, po naciągnięciu strun (przed zabetonowaniem masztu), a potem przed ich zwolnieniem (sprężeniem masztu).Miejsca pomiarów sił zaznaczono na rys. 4. Formy dla walców próbnych wykonano zgodnie z PN-55/B-06250. Pobocznica formy z blachy perforowanej ułatwia penetrację podciśnienia w głąb próbki. Baterię walców, liczącą 100 sztuk, umieszczono w formie dla płyty o grubości 8 cm . Po wypełnieniu formy betonem i zagęszczeniu mieszanki wibratorem wykonano próżniowanie od góry za pomocą gumowego dywanika aktywnego. Z chwilą zakończenia próżniowania rozformowano ciała próbne i przechowywano w warunkach wilgotnych. W okresie okupacji pracuje w Krakowie przy rozbudowie Zakładów Sodowych oraz Gmachu banku Rolnego, jako kierownik robót i statyk. Od roku 1949, to jest od początku utworzenia Centralnego Biura Projektów Architektonicznych i Budowlanych, przekształconego później w Miastoprojekt — Kraków, mgr inż. Mochnacki pracuje jako projektant konstruktor oraz kierownik pracowni konstrukcyjnej, a następnie główny specjalista konstrukcji. Nie szczędził swoich sił również na terenie Polskiego Związku Inżynierów i Techników Budownictwa w Krakowie, piastując przez kilka kadencji funkcję wiceprzewodniczącego Zarządu Oddziału PZiTB w Krakowie, który wielokrotnie reprezentował na walnych zjazdach. Od chwili utworzenia w Krakowie Zespołu Rzeczoznawców (którego był jednym z inicjatorów) pełnił nieprzerwanie funkcję Przewodniczącego Rady Zespołu, zawsze chętnie wypełniając wszystkie zadania powierzane Mu przez Stowarzyszenie. Uwagi: 1.  W odniesieniu do jednostki długości: elektron w atomie kryptonu o liczbie masowej 86, przy przeskoku z poziomu energetycznego oznaczonego w spektroskopii skrótem 2p 10  na poziom energetyczny 5d 5  wysyła kwant promieniowania, którego długość fali służy do podanego określenia metra. To określenie jest wyrazem ogólnej tendencji zastąpienia wzorów umownych, mogących ulec odkształceniom lub zniszczeniom, przez pewne możliwe do odtworzenia w dowolnym czasie i miejscu wzorce, zawarte w przyrodzie.(s.33)"
243,243,"- Tak, to jest prawda - odpowiedział oficer dyżurny. Jerzy Plewa, były wiceminister rolnictwa, będzie drugim, po komisarz Danucie Huebner, najwyższym polskim urzędnikiem w Komisji Europejskiej. Dziś zostanie zatwierdzony na stanowisko wicedyrektora generalnego w dyrekcji Komisji Europejskiej ds. rolnictwa. Jerzy Plewa był głównym negocjatorem ds. rolnych w okresie, kiedy Polska wstępowała do Unii Europejskiej. - Ta oazowa pieśń prowadziła mnie z Ojczyzny przed 23 laty. Miałem ją w uszach, kiedy słyszałem wyrok konklawe, nie rozstawałem się z nią przez te wszystkie lata. Ona przyprowadzała mnie wielokrotnie tu - na krakowskie Błonia, pod kopiec Kościuszki - dodał papież. - Jestem elektronikiem i lubię sobie pogrzebać w systemach - tłumaczył policjantom, którzy przyjechali na wezwanie bohaterskich sąsiadów. ""Windziarz"" już raz umknął sprawiedliwości. Wpadł na gorącym uczynku kilka lat temu, ale biegli psychiatrzy uznali, że był niepoczytalny, i skierowali go na leczenie. Gdy wyszedł ze szpitala, horror zaczął się od nowa. Annopol. We wtorek w Annopolu, gdzie Wisła przekroczyła stan alarmowy o 34 cm, ogłoszono alarm przeciwpowodziowy. W nocy z poniedziałku na wtorek rzeka przybrała o prawie pół metra. W niżej położonych Puławach przekroczyła stan ostrzegawczy o 30 cm. Wzrost poziomu wody w rzece jest spowodowany spływem wód opadowych z południa kraju. Według prognoz, Wisła będzie jeszcze przybierać. Na temat piorunów kulistych wymyślono ponad 100 teorii. Według jednych to kule płonącego gazu, inne mówią o plazmie, substancjach radioaktywnych czy antymaterii. Są szanse, że odkrycia sprzed kilku tygodni (patrz: Piorun z laboratorium) wyjaśnią te zagadki. Naukowcy weryfikujący swoje ustalenia będą mieli nie lada kłopot, bo jak dotąd udało się wykonać tylko kilkadziesiąt zdjęć i kilka filmów wideo. Widać na nich piorun kulisty, który powstał w naturalnych warunkach. On: - Jestem dumny i szczęśliwy, że dojrzałem do stałego związku. Nie wiem, ile piw musiałbym wypić, aby zainteresować się inną dziewczyną. Na pewno nieskończoność. I jeszcze jedna sprawa - Agnieszka jest o mnie zazdrosna. - I z pewnością zaborcza. Był pewien, że bawiący się w piaskownicy na jednym z nowohuckich osiedli opóźniony umysłowo Marcinek (14 l.) będzie łatwym łupem. Już na samą myśl Robert N. (42 l.) zaczął się obleśnie ślinić. Obrzydliwy pedofil się jednak przeliczył. Dzięki czujności mieszkańców bloku i szybkiej akcji policji siedzi za kratami. Może tam pozostać przez następne 10 lat. On pokonał strach i pod osłoną nocy uciekł. Inni nie wytrzymywali i popełniali samobójstwo. Na trop polskich przestępców jesienią ub. roku wpadli krakowscy policjanci. Zatrzymali dziesięć osób organizujących wyjazdy. Później okazało się, że to był handel ludźmi. W śledztwo zaangażowali się Włosi. W tym tygodniu w obu krajach zatrzymano 29 osób zamieszanych w handel ludźmi i uwolniono 113 Polaków niewolników. Kradli telefony komórkowe, sprzęt komputerowy i inne cenne przedmioty. Później łupy pojawiały się na krakowskiej giełdzie elektronicznej. Mózgiem grupy był Bartłomiej G. (27 l.), włamywacz recydywista, alpinista, nieobliczalny narkoman. - Szkoda k..., że mnie złapaliście, bo za tydzień byśmy zrobili taki numer, o jakim wam się nie śniło - wyznał policjantom. Za kraty trafiło już 10 osób. Postrach osiedla unika kary. Bo jest byłym gliną?"
306,306,"Bo odzywający się co kwadrans zegar przejdzie gruntowny remont. Wmontowany zostanie m.in. nowy mechanizm obsługujący dzwony. Big Ben jest największym zegarem w Wielkiej Brytanii. Jego cztery tarcze mają średnice 7,5 metra, a długość wskazówek wynosi 4,25 m. Zrozpaczony mężczyzna mówi, że do ministra Ziobry pójdzie o pomoc prosić. Sąsiedzi z nim, bo dla nich to niepodobieństwo, żeby zbrodnia została bez kary. Morderca żony i córki trafi do szpitala psychiatrycznego, lekarze co pół roku będą sporządzać raporty dla sądu o stanie jego zdrowia. Jeśli biegli uznają, że nie zagraża już nikomu, wyjdzie ze szpitala. - Kiedy?"
340,340,"- Chłopaki z lubelskiego zespołu hiphopowego noszą takie krawaty. Poprosiłem tatę, żeby się zatrzymał - wyjaśnił za kierowcę jego syn. W Polsce lepiej nie pomagać biednym. Waldemar Gronowski (55 l.), legnicki darczyńca roku, który przez wiele lat rozdawał najuboższym pieczywo, musiał zamknąć piekarnię. - Dostałem od fiskusa pocałunek śmierci - mówi. - Gdybym niszczył pieczywo, fiskus byłby zadowolony. Wydawało się, że fiskus nie będzie dłużej gnębił Waldemara Gronowskiego, legnickiego piekarza, który przez ponad 10 lat rozdawał pieczywo najuboższym. W gorszej sytuacji są ci, którym KZGM wykrył powierzchnię większą niż ta wpisana w papierach. - Ich niestety czeka podwyżka. - Nie uśmiecha mi się to - mówi Irena Kozak. - Wyszło, że mam o 0,65 metra większe mieszkanie. Kwota mała, ale zawsze to podwyżka. - Jego przodków uratował mój dziadek w czasie II wojny światowej. To dług wdzięczności - tłumaczyła. Uwierzyło jej pół Polski i ci, których zdaniem prokuratury, potem oszukała. Na ławie oskarżonych zasiadł także syn Wiesławy G., Piotr (34 l.). Prokuratura zarzuca mu pomaganie matce w oszustwach. Szybkie jedzenie szybko tuczy. To również efekt poddawania takich produktów szybkiej obróbce termicznej. - Pokarm dla psów ma mniej tłuszczu, soli i jest o niebo bogatszy w proteiny, ale zawiera popiół, co sprawia, że mogą wystąpić komplikacje żołądkowe - dodaje Izabela Kwiatkowska. Tajlandia. Czego to ludziska nie wymyślą!"
396,396,"Na takie pytanie może odpowiedzieć tylko profesjonalista. Dawno nie było w polskiej telewizji programu, który budziłby tak wielkie emocje. Część widzów wścieka się, że jury faworyzuje kiepskich tancerzy, a nie docenia dobrych. Opinie niezależnego eksperta potwierdzają, że ""Taniec z gwiazdami"" to niezły układ. Dym, krzyki przerażonych ludzi, uwięzionych w tunelu. Było groźnie, strasznie, na szczęście obyło się bez śmiertelnych ofiar. Chicago, godziny popołudniowego wtorkowego szczytu. Nagle w pociągu metra, który łączy to ogromne miasto z międzynarodowym portem lotniczym O'Hare, pali się jeden z wagoników. W tym czasie w kolejce było około tysiąca osób. - Widziałam już różne rzeczy w życiu, ale czegoś podobnego jeszcze nigdy - kręci z niedowierzaniem głową Stefania Pielka (73 l.), sąsiadka Dariusza M. - Myślałam, że Oskar zgniótł tego mężczyznę, ale nie. Facet wstał, otrzepał się i poszedł. Dariusz M. trafił do izby wytrzeźwień. Odpowie za znęcanie się nad psem. Ale także, wspólnie z żoną, która trzeźwieje w szpitalu, za niedopilnowanie dziecka. Nic, tylko w piątek wieczorem spakować wiklinowy koszyk, brać koc i jechać na piknik. Majowe weekendy zapowiadają się naprawdę ładnie!"
405,405,"- zastanawiają się mieszkańcy i włodarze Torunia. Gród Kopernika to w ostatnim czasie najbardziej pechowe miasto w Polsce. Najpierw ptasia grypa, teraz wielka fala i powódź. Ciążące nad miastem fatum to wymierne straty finansowe, liczone dziś w setkach tysięcy złotych. Hiszpania. Ponad 30 osób zginęło w wypadku metra w Walencji, a ponad 150 zostało rannych, w tym kilka bardzo poważnie. Jak podały miejscowe rozgłośnie radiowe, wykoleiły się dwa wagoniki podziemnej kolejki. Straży pożarnej udało się ewakuować setki ludzi. Według wstępnych opinii policji, która również zjawiła się na miejscu, był to wypadek, a nie zamach terrorystyczny. Prawdopodobnie przyczyną tragedii było zawalenie się stropu tunelu. Andrzej Lepper miał zamówić wiersze podczas swoich urodzin. Według poetki szczegóły kazał jej ustalić z Maksymiukiem. Krakowska poetka Urszula Ciszek-Frankiewicz napisała 12 politycznych panegiryków na cześć Andrzeja Leppera i Samoobrony. Wszystkie na kampanię wyborczą. Do dziś nie dostała za nie pieniędzy, więc skierowała sprawę do sądu. Wczoraj warszawskim radnym udało się przegłosować jedynie trzy z zaplanowanych siedemnastu punktów obrad. Przy czwartym zerwali obrady i ustawili się w kolejce, by podpisać listę obecności. Na tej podstawie otrzymają diety, od 1500 do 2000 złotych. Zawód przeżyły grupy protestujących warszawiaków, które licznie przybyły na wczorajszą sesję rady miasta. Zaprotestować zdążyła tylko jedna. Reszta odeszła z kwitkiem, bo rada nie zdążyła rozpatrzyć punktów obrad, przeciwko którym burzyli się przybyli. - To nieprawda - odpierał zarzuty Janusz Głód, dyrektor gimnazjum. - W szkole jest mniej uczniów, dlatego musiałem tym paniom podziękować. Uczniów to nie przekonało. Negocjacje rozpoczęły się dopiero po przyjeździe do szkoły zastępcy wójta gminy. Zakończyły się sukcesem. Praca dla polonistek się znajdzie. Poznań ma koziołki, Bydgoszcz swego Twardowskiego. Czarnoksiężnik pojawia się dwa razy dziennie w oknie kamienicy na Starym Rynku. Twardowski przy akompaniamencie muzyki wychyla się z okna, kłania oraz pozdrawia turystów i mieszkańców, machając ręką. Dwumetrowa figura to dzieło częstochowskiego rzeźbiarza Jerzego Kędziory. Zdaniem prof. Haliny Zgółkowej, językoznawcy, pisownia i odmiana wyrazu Maria jest ustalona i nie ma mowy o żadnej dowolności. - Pan Giertych nie ma więc racji. A jeśli ma jakieś wątpliwości - polecam słownik ortograficzny języka polskiego albo podręczny kalendarzyk. - Według symulacji, 10-11 mld zł zamiast do budżetu trafi do pracowników - tłumaczy Andrzej Szlachta, poseł PiS. A ile konkretnie na tych zabiegach zyska przeciętny Kowalski?"
461,461,"- mówi Mirosław Wende (41 l.), felinoterapeuta. Gucio, Misiu, Niunia, Ruda, Dzidzia, Pusia, Petra, Sunny - osiem dumnych kociaków przechadza się po mieszkaniu Mirosława Wende. To wyjątkowe koty. Spokojne, łagodne, serdeczne, odpowiednio wychowywane. Kapelan hutniczej Solidarności ks. Tadeusz Isakowicz-Zaleski zapowiedział, że ujawni, ilu księży miało założone teczki personalne jako tajni współpracownicy SB. Uważa, że nie ma możliwości, by akta SB dotyczące ks. Czajkowskiego (według publikacji w ""Życiu Warszawy"" ks. Czajkowski był agentem) można było w jakikolwiek sposób sfałszować. Kraków. To była istna makabra!"
474,474,"Funkcjonariusze CBA będą mogli kontrolować firmy, gromadzić dane osobiste, w tym tzw. wrażliwe - dotyczące np. preferencji seksualnych. To pierwsza instytucja, która będzie mogła dokonać lustracji majątkowej polityków, łącznie z oględzinami mieszkania. Przeciwnicy uważają, że może być groźnym narzędziem w rękach rządzącej partii. Zrobienie takiego wzoru zajmie kilka godzin. Działajmy nocą, najlepiej na kolanach. Wtedy nikt nas nie zauważy. Do skomplikowanych wzorów używamy deski przywiązanej do sznurka. Do zwykłego koła wystarczy sam sznurek. Na koniec zacieramy ślady. Wyciągamy z ziemi kołek i zasypujemy dziurkę, jaka po nim pozostała. Niepostrzeżenie wracamy do domu i nad ranem obwieszczamy światu odkrycie niecodziennego zjawiska. Gdy w 2001 r. został wiceministrem w rządzie SLD - posłowie opozycji wytykali mu m.in., że podległy mu wywiad skarbowy nie kontroluje rafinerii sprzedających jako pełnowartościowy wysoko zasiarczony olej napędowy - na czym tracił budżet. Jesienią 2004 r. posłanka PiS Barbara Marianowska doniosła na Ciesielskiego do prokuratury, zarzucając mu niedopełnienie obowiązków. Ale odmówiono wszczęcia sprawy. Inspektorzy NIK zarzucali Ciesielskiemu, że nie kontrolował likwidacji przemycanych papierosów. Ona: - Tak. Kiedy jestem z nim, jest mój i koniec. Na początku nie było mowy, żeby spotykał się z jakąkolwiek inną dziewczyną. Miał szlaban na koleżanki. Teraz trochę popuściłam. - To bywa męczące. On: - Coś za coś. Parę kontaktów się urwało. - Nawiązałeś nowe. Chodzi po mieście, że jesteś tylko bankietowym sportowcem. On: - Nikt nie ma prawa tak mówić. Zająłem przecież drugie miejsce na zawodach Pucharu Świata. Udało nam się jednak nieoficjalnie dowiedzieć, że Kaczyńscy pojawią się w Helu pod koniec lipca. A Maria Kaczyńska zgodziła się objąć patronat honorowy nad lipcowym Letnim Festiwalem Muzyki Kameralnej w Helu. To dobra wiadomość dla mieszkańców tej nadmorskiej miejscowości. Przez ostatnie 10 lat przyzwyczaili się do obecności prezydenckiej pary. Aleksander i Jolanta Kwaśniewscy byli jedną z największych atrakcji turystycznych regionu. Katowice. Górnicze związki zawodowe domagają się, wbrew stanowisku resortu gospodarki, wypłaty nagród z ubiegłorocznych zysków spółek węglowych. Związkowcy z Sierpnia 80 zapowiedzieli, że nie opuszczą siedzib spółek do czasu uzyskania gwarancji wypłacenia nagród. W budynkach Kompanii Węglowej i holdingu znajdowało się wczoraj 40 związkowców. Policja od razu wszczęła dochodzenie. - Mogę potwierdzić wątek konfliktu między pracownikiem a pracodawcą - mówi Andrzej Hachaj, rzecznik prasowy lęborskiej policji. W mieszkaniu Ani niczego nie zmieniono od chwili jej śmierci. Na podłodze leżą porozrzucane zabawki, na stole stoi zdjęcie 5-letniego chłopca, w przedpokoju damskie kapcie. Policjanci znaleźli zabójcę we Wrocławiu. Zameldował się tam jako Dariusz H. Wcześniej występował też jako Waldemar M. Przez 4 lata poszukiwany był przez sąd w Cieszynie, bo nie powrócił do więzienia z przepustki. Siedział za kradzieże i rozboje. Policjanci znaleźli przy nim notes z danymi 80 kobiet. Sukienki mają jedną zaletę: podkreślają indywidualność dziecka. Komunia, podczas której matki prześcigają się w strojeniu córek, traci swój wymiar duchowy. Następuje przewartościowanie z wymiaru duchowego na materialny. Przed kościołem dzieci liczą na sobie falbanki, zamiast skupić się na tym, co duchowe. Strojne suknie wzmacniają rywalizację między dziewczynkami. Część dzieci z napięciem czeka na ten dzień, boją się, że będą gorzej ubrane. Raz w roku, w Boże Ciało, maleńki Spicymierz koło Uniejowa (Łódzkie) staje się miasteczkiem kwiatów. Po południu kościelna procesja wyrusza w drogę po bajecznie kolorowym kwietnym dywanie. Mieszka tu zaledwie 500 osób. Raz w roku do miasteczka ściągają turyści z całego kraju i z zagranicy. Wszystko za sprawą mieszkańców, którzy przed Bożym Ciałem układają na drodze procesji kościelnej długi na półtora kilometra i szeroki na kilka metrów barwny kwiatowy dywan. W słowackich Tatrach piorun uderzył w parę polskich turystów. Śmierć na miejscu poniosła 36-letnia kobieta, która z mężem przechodziła przez Małą Fatrę w rejonie Niskich Tatr. Polkę próbowali ratować słowaccy turyści oraz wezwani na pomoc ratownicy. Mąż kobiety z niegroźnymi ranami trafił do szpitala. - Mieli co prawda jednego ojca, ale on bardzo szybko zmarł i tak naprawdę przestało ich cokolwiek łączyć. Mąż chyba zawsze czuł się trochę w cieniu swojego wielkiego brata. Z dumą powtarzał, że Leszek Miller z tak biednego domu zaszedł tak bardzo wysoko - mówi Agnieszka Miller. Sławomir Miller (53 l.) Co ma Bóg do tego?"
1119,1119,"(WROCŁAW/GDYNIA) W sobotę chorąży Grzegorz C. postrzelił w Górze cztery osoby. W poniedziałek Sąd Garnizonowy we Wrocławiu oddalił zarzuty prokuratury wobec żołnierza. Zarzut dotyczył czterokrotnego usiłowania zabójstwa. Sąd nie uwzględnił również wniosku prokuratury o tymczasowym aresztowaniu marynarza. W Komendzie Miejskiej w Legnicy wyliczają, że na skutek zmian organizacyjnych policji na przełomie lat 1998 - 1999 odebrano ponad pół setki etatów. Część udało się już odzyskać, ale do stanu poprzedniego brakuje grubo ponad 40 policjantów. - Już wczoraj otrzymałem obietnicę od komendanta wojewódzkiego, że dostaniemy z powrotem cztery etaty - mówi komendant Stanisławski. - Mam nadzieję, że do końca roku uda mi się odzyskać wszystkie. (LEGNICA) Łemkowski zespół ""Kyczera"" powrócił z serii występów w regionie nowosądeckim. Jak nam powiedział Jerzy Starzyński, kierownik ""Kyczery"", zespół uczestniczył w VI Odwiedzinach u Pradziadków na Wsi - imprezie finansowanej przez ministerstwo kultury i sztuki oraz Fundację Stefana Batorego. - W Sądeckim Parku Etnograficznym gdzie znajdują się autentyczne łemkowskie obejścia przeprowadziliśmy warsztaty twórcze połączone z koncertami - dodaje Jerzy Starzyński. - Dla najmłodszych członków ""Kyczery"" było to duże przeżycie. - To bardzo pomogło. Już nie ma tych mokrych, czarnych plam na ścianach. Zostały tylko czarne. Mimo to rachunki, za to zagrzybione mieszkanie Janiccy płacą regularnie. - Sąsiad spod 18-ki powiedział, że za grzyba płacił nie będzie. Nie płacił 2 lata. No i niedawno, przed wakacjami go eksmitowali. Chcieliśmy tam się zamienić. Bo znacznie mniejszy grzyb jest. Ale nic z tego. Radar na górze Poręba będzie całkowicie zautomatyzowany i nie będzie potrzebował stałej obsługi człowieka. W razie uszkodzenia zadziała automatyczny system ochrony. Na szczycie 25-metrowej wieży zamontowano przed kilkoma dniami kulę o średnicy 6,5 metra, która pomieści całą bardzo delikatną elektronikę. Najpierw we trzy weszły do mieszkania 84-letniej Marii W. pod pretekstem sprzedaży odzieży. Po krótkiej rozmowie dwie Cyganki obezwładniły starszą mieszkankę Wojborza, a trzecia splądrowała całe mieszkanie, kradnąc w efekcie 13 tys. złotych. Do kradzieży doszło w czwartek. Jak poinformował nas komisarz Maciej Sucharski z Komendy Powiatowej Policji w Kłodzku, Cyganki przyszły do mieszkania Marii W. w konkretnym celu i wiedziały doskonale, że kobieta ma w mieszkaniu znaczną ilość pieniędzy. Pomysł budowy bezpiecznego kąpieliska i ośrodka rekreacyjnego na terenie żwirowni nie jest nowy. Jak udało się nam ustalić, żwirownia ma nowego właściciela. Cały teren został przejęty przez śląską spółkę Mifama Ston. Nabywcy jeszcze w tym roku zamierzają rozpocząć budowę ośrodka rekreacyjnego. Zaczną jednak od wyciągania złomu z dna. Inny handlowiec przyznał w rozmowie z nami, że teraz żałuje wystawienia przed sklepem ogródka. - Meneli naszło się z całego osiedla. Siedzą i piwo piją, a ja nic im zrobić nie mogę - twierdzi J.W., właściciel jednego ze sklepów w Wałbrzychu. - Normalnych klientów mi odstraszyli. Zysk żaden z tych kilku pijaczków. Czym jest miłość według kardiologa?"
1149,1149,"Kupcy z pawilonów przy ulicy Marszałkowskiej, blokujący budowę stacji metra Świętokrzyska, wyprowadzą się ze swoich sklepów. Wczoraj dogadali się z zarządem miasta. Zajmą pawilon przy ulicy Zielnej 6. Miejsca w nim zwolniły się po handlowcach, którzy lokal opuścili wcześniej na własną rękę."
